228276,ESCOLAS,22 – SEDUC,Administração direta
228277,ESCOLAS,22 – SEDUC,Administração direta
228278,ESCOLAS,22 – SEDUC,Administração direta
228279,ESCOLAS,22 – SEDUC,Administração direta
228280,ESCOLAS,22 – SEDUC,Administração direta
228281,ESCOLAS,22 – SEDUC,Administração direta
228282,ESCOLAS,22 – SEDUC,Administração direta
228283,ESCOLAS,22 – SEDUC,Administração direta
228284,ESCOLAS,22 – SEDUC,Administração direta
228285,ESCOLAS,22 – SEDUC,Administração direta
228286,ESCOLAS,22 – SEDUC,Administração direta
228287,ESCOLAS,22 – SEDUC,Administração direta
228288,ESCOLAS,22 – SEDUC,Administração direta
228289,ESCOLAS,22 – SEDUC,Administração direta
228290,ESCOLAS,22 – SEDUC,Administração direta
228291,ESCOLAS,22 – SEDUC,Administração direta
228292,ESCOLAS,22 – SEDUC,Administração direta
228293,ESCOLAS,22 – SEDUC,Administração direta
228294,ESCOLAS,22 – SEDUC,Administração direta
228296,ESCOLAS,22 – SEDUC,Administração direta
228297,ESCOLAS,22 – SEDUC,Administração direta
228298,ESCOLAS,22 – SEDUC,Administração direta
228299,ESCOLAS,22 – SEDUC,Administração direta
228300,ESCOLAS,22 – SEDUC,Administração direta
228301,ESCOLAS,22 – SEDUC,Administração direta
228302,ESCOLAS,22 – SEDUC,Administração direta
228303,ESCOLAS,22 – SEDUC,Administração direta
228304,ESCOLAS,22 – SEDUC,Administração direta
228305,ESCOLAS,22 – SEDUC,Administração direta
228306,ESCOLAS,22 – SEDUC,Administração direta
228307,ESCOLAS,22 – SEDUC,Administração direta
228308,ESCOLAS,22 – SEDUC,Administração direta
228309,ESCOLAS,22 – SEDUC,Administração direta
228310,ESCOLAS,22 – SEDUC,Administração direta
228311,ESCOLAS,22 – SEDUC,Administração direta
228312,ESCOLAS,22 – SEDUC,Administração direta
228313,ESCOLAS,22 – SEDUC,Administração direta
228314,ESCOLAS,22 – SEDUC,Administração direta
228315,ESCOLAS,22 – SEDUC,Administração direta
228316,ESCOLAS,22 – SEDUC,Administração direta
228317,ESCOLAS,22 – SEDUC,Administração direta
228318,ESCOLAS,22 – SEDUC,Administração direta
228319,ESCOLAS,22 – SEDUC,Administração direta
228320,ESCOLAS,22 – SEDUC,Administração direta
228321,ESCOLAS,22 – SEDUC,Administração direta
228322,ESCOLAS,22 – SEDUC,Administração direta
228323,ESCOLAS,22 – SEDUC,Administração direta
228324,ESCOLAS,22 – SEDUC,Administração direta
228325,ESCOLAS,22 – SEDUC,Administração direta
228326,ESCOLAS,22 – SEDUC,Administração direta
228327,ESCOLAS,22 – SEDUC,Administração direta
228328,ESCOLAS,22 – SEDUC,Administração direta
228329,ESCOLAS,22 – SEDUC,Administração direta
228330,ESCOLAS,22 – SEDUC,Administração direta
228331,ESCOLAS,22 – SEDUC,Administração direta
228332,ESCOLAS,22 – SEDUC,Administração direta
228333,ESCOLAS,22 – SEDUC,Administração direta
228334,ESCOLAS,22 – SEDUC,Administração direta
228335,ESCOLAS,22 – SEDUC,Administração direta
228336,ESCOLAS,22 – SEDUC,Administração direta
228337,ESCOLAS,22 – SEDUC,Administração direta
228338,ESCOLAS,22 – SEDUC,Administração direta
228339,ESCOLAS,22 – SEDUC,Administração direta
228340,ESCOLAS,22 – SEDUC,Administração direta
228341,ESCOLAS,22 – SEDUC,Administração direta
228342,ESCOLAS,22 – SEDUC,Administração direta
228343,ESCOLAS,22 – SEDUC,Administração direta
228344,ESCOLAS,22 – SEDUC,Administração direta
228345,ESCOLAS,22 – SEDUC,Administração direta
228346,ESCOLAS,22 – SEDUC,Administração direta
228347,ESCOLAS,22 – SEDUC,Administração direta
228348,ESCOLAS,22 – SEDUC,Administração direta
